代碼,公司名稱,上市,類別
2903,遠百,上市,貿易百貨
2904,匯僑,上市,貿易百貨
2905,三商行,上市,貿易百貨
2906,高林實業,上市,貿易百貨
2908,特力,上市,貿易百貨
2910,統領,上市,貿易百貨
2911,麗嬰房,上市,貿易百貨
2912,統一超商,上市,貿易百貨
2913,農林,上市,貿易百貨
2915,潤泰全,上市,資訊電子
2301,光寶科,上市,資訊電子
2302,麗正,上市,資訊電子
2303,聯電,上市,資訊電子
2305,全友,上市,資訊電子
2308,台達電子,上市,資訊電子
2310,旭麗,上市,資訊電子
2311,日月光,上市,資訊電子
2312,金寶,上市,資訊電子
2313,華通,上市,資訊電子
2314,台揚,上市,資訊電子
2315,神達,上市,資訊電子
2316,楠梓電子,上市,資訊電子
2317,鴻海,上市,資訊電子
2318,佳錄,上市,資訊電子
2319,大眾,上市,資訊電子
2321,東訊,上市,資訊電子
2322,致福,上市,資訊電子
2323,中環,上市,資訊電子
2324,仁寶,上市,資訊電子
2325,矽品,上市,資訊電子
2326,亞瑟,上市,資訊電子
2327,國巨,上市,資訊電子
2328,廣宇,上市,資訊電子
2329,華泰,上市,資訊電子
2330,台積電,上市,資訊電子
2331,精英,上市,資訊電子
2332,友訊,上市,資訊電子
2333,碧悠,上市,資訊電子
2335,清三,上市,資訊電子
2336,致伸,上市,資訊電子
2337,旺宏,上市,資訊電子
2338,光罩,上市,資訊電子
2339,合泰,上市,資訊電子
2340,光磊,上市,資訊電子
2341,英群,上市,資訊電子
2342,茂矽,上市,資訊電子
2343,精業,上市,資訊電子
2344,華邦電子,上市,資訊電子
2345,智邦,上市,資訊電子
2347,聯強,上市,資訊電子
2348,力捷,上市,資訊電子
2349,錸德,上市,資訊電子
2350,環電,上市,資訊電子
2351,順德,上市,資訊電子
2352,明基,上市,資訊電子
2353,宏碁,上市,資訊電子
2354,華升,上市,資訊電子
2355,敬鵬,上市,資訊電子
2356,英業達,上市,資訊電子
2357,華碩,上市,資訊電子
2358,美格,上市,資訊電子
2359,所羅門,上市,資訊電子
2360,致茂,上市,資訊電子
2361,鴻友,上市,資訊電子
2362,藍天,上市,資訊電子
2363,矽統,上市,資訊電子
2364,倫飛,上市,資訊電子
2365,昆盈,上市,資訊電子
2366,亞旭,上市,資訊電子
2367,燿華,上市,資訊電子
2368,金像電子,上市,資訊電子
2369,菱生,上市,資訊電子
2370,匯僑工業,上市,資訊電子
2371,大同,上市,資訊電子
2373,震旦行,上市,資訊電子
2374,佳能,上市,資訊電子
2375,智寶,上市,資訊電子
2376,技嘉,上市,資訊電子
2377,微星,上市,資訊電子
2378,鴻運電子,上市,資訊電子
2379,瑞昱,上市,資訊電子
2380,虹光,上市,資訊電子
2381,華宇,上市,資訊電子
2382,廣達,上市,資訊電子
2383,台光電子,上市,資訊電子
2384,勝華,上市,資訊電子
2385,群光,上市,資訊電子
2386,國電,上市,資訊電子
2387,精元,上市,資訊電子
2388,威盛,上市,資訊電子
2389,世昕,上市,資訊電子
2390,云辰,上市,資訊電子
2391,合勤,上市,資訊電子
2392,正崴,上市,資訊電子
2393,億光,上市,資訊電子
2394,普立爾,上市,資訊電子
2395,研華,上市,資訊電子
2396,精碟,上市,資訊電子
2397,友通資訊,上市,資訊電子
2398,博達,上市,資訊電子
2399,映泰,上市,資訊電子
2401,凌陽,上市,資訊電子
2402,毅嘉,上市,資訊電子
2403,友尚,上市,資訊電子
2404,漢唐,上市,資訊電子
2405,浩鑫,上市,資訊電子
2406,國碩,上市,資訊電子
2407,陞技,上市,資訊電子
2408,南科,上市,資訊電子
2409,友達,上市,資訊電子
2410,普大,上市,資訊電子
2411,飛瑞,上市,資訊電子
2412,中華電,上市,資訊電子
2413,環科,上市,資訊電子
2414,精技,上市,資訊電子
2415,錩新,上市,資訊電子
2416,世平,上市,資訊電子
2417,圓剛,上市,資訊電子
2418,雅新,上市,資訊電子
2419,仲琦,上市,資訊電子
2420,新巨,上市,資訊電子
2421,建準,上市,資訊電子
2422,國聯,上市,資訊電子
2423,固緯,上市,資訊電子
2424,隴華,上市,資訊電子
2425,承啟,上市,資訊電子
2426,鼎元,上市,資訊電子
2427,三商電,上市,資訊電子
2428,興勤,上市,資訊電子
2429,永兆,上市,資訊電子
2430,燦坤,上市,資訊電子
2431,聯昌,上市,資訊電子
2432,倚天,上市,資訊電子
2433,互盛電,上市,資訊電子
2434,統懋,上市,資訊電子
2435,台路,上市,資訊電子
2436,偉詮電,上市,資訊電子
2437,旺詮,上市,資訊電子
2438,英誌,上市,資訊電子
2439,美律,上市,資訊電子
2440,太空梭,上市,資訊電子
2441,超豐,上市,資訊電子
2442,美齊,上市,資訊電子
2443,利碟,上市,資訊電子
2444,友旺,上市,資訊電子
2445,南方,上市,資訊電子
2446,全懋,上市,資訊電子
2447,鼎新,上市,資訊電子
2448,晶電,上市,資訊電子
2449,京元電,上市,資訊電子
2450,神腦,上市,資訊電子
2451,創見,上市,資訊電子
2452,乾坤,上市,資訊電子
2453,凌群,上市,資訊電子
2454,聯發科,上市,資訊電子
2455,全新,上市,資訊電子
2456,奇力新,上市,資訊電子
2457,飛宏,上市,資訊電子
2458,義隆,上市,資訊電子
2459,敦吉,上市,資訊電子
2460,建通,上市,資訊電子
2461,光群雷,上市,資訊電子
2462,良得電,上市,資訊電子
2463,研揚,上市,資訊電子
2464,盟立,上市,資訊電子
2465,麗臺,上市,資訊電子
2466,冠西電,上市,資訊電子
2467,志聖,上市,資訊電子
2468,華經,上市,資訊電子
2469,力信,上市,資訊電子
2470,品佳,上市,資訊電子
2471,資通,上市,資訊電子
2472,立隆電,上市,資訊電子
2473,思源,上市,資訊電子
2474,可成,上市,資訊電子
2475,華映,上市,資訊電子
2476,鉅祥,上市,資訊電子
2477,美隆電,上市,資訊電子
2478,大毅,上市,資訊電子
2479,和立,上市,資訊電子
2480,敦陽科,上市,資訊電子
2481,強茂,上市,資訊電子
2482,連宇,上市,資訊電子
2483,百容,上市,資訊電子
2484,希華,上市,資訊電子
2485,兆赫,上市,資訊電子
2486,一詮,上市,資訊電子
2487,友立資,上市,資訊電子
2488,漢平,上市,資訊電子
2489,瑞軒,上市,資訊電子
2490,皇統,上市,資訊電子
2491,訊碟,上市,資訊電子
2492,華新科,上市,資訊電子
2493,揚博,上市,資訊電子
2494,突破,上市,資訊電子
2495,普安,上市,資訊電子
2496,卓越,上市,資訊電子
2497,怡利電,上市,資訊電子
2498,宏達電,上市,資訊電子
2499,東貝,上市,資訊電子
3001,協和,上市,資訊電子
3002,歐格,上市,資訊電子
3003,健和興,上市,資訊電子
3004,宏達科,上市,資訊電子
3005,神基,上市,資訊電子
3006,晶豪科,上市,資訊電子
3007,綠點,上市,資訊電子
3008,大立光電,上市,資訊電子
3009,奇美電,上市,資訊電子
3010,華立,上市,資訊電子
3011,今皓,上市,資訊電子
3012,廣輝,上市,資訊電子
3013,晟銘電,上市,資訊電子
3014,聯陽,上市,資訊電子
3015,全漢,上市,資訊電子
3016,嘉晶,上市,資訊電子
3017,奇鋐,上市,資訊電子
3018,同開,上市,資訊電子
3019,亞光,上市,資訊電子
3020,奇普仕,上市,資訊電子
3021,衛道,上市,資訊電子
3022,威達電,上市,資訊電子
3023,信邦,上市,資訊電子
3024,憶聲,上市,資訊電子
3025,星通,上市,資訊電子
3026,禾伸堂,上市,資訊電子
3027,盛達,上市,資訊電子
3028,增你強,上市,資訊電子
3029,零壹,上市,資訊電子
3030,德律,上市,資訊電子
3031,佰鴻,上市,資訊電子
3032,偉訓,上市,資訊電子
3033,威健,上市,資訊電子
3034,聯詠,上市,資訊電子
3035,智原,上市,資訊電子
3036,文曄,上市,資訊電子
3037,欣興,上市,資訊電子
3038,全台,上市,資訊電子
3039,宏傳,上市,資訊電子
3040,遠見,上市,資訊電子
3041,揚智,上市,資訊電子
3042,晶技,上市,資訊電子
3043,科風,上市,資訊電子
3044,健鼎,上市,資訊電子
3045,台灣大,上市,資訊電子
3046,建碁,上市,資訊電子
3047,訊舟,上市,資訊電子
3048,益登,上市,資訊電子
3049,和鑫,上市,資訊電子
3050,鈺德,上市,資訊電子
3051,力特,上市,資訊電子
3052,夆典,上市,資訊電子
3053,鼎營,上市,資訊電子
3054,萬國,上市,資訊電子
3055,蔚華科,上市,資訊電子
3056,駿億,上市,資訊電子
3057,喬鼎,上市,資訊電子
3058,立德,上市,資訊電子
3059,華晶科,上市,資訊電子
3060,銘異,上市,資訊電子
3061,璨圓,上市,資訊電子
6128,上福,上市,造紙
1902,台紙,上市,造紙
1903,士紙,上市,造紙
1904,正隆,上市,造紙
1905,華紙,上市,造紙
1906,寶隆,上市,造紙
1907,永豐餘,上市,造紙
1909,榮成,上市,運輸
2601,益航,上市,運輸
2603,長榮,上市,運輸
2604,立榮,上市,運輸
2605,新興,上市,運輸
2606,裕民,上市,運輸
2607,榮運,上市,運輸
2608,大榮,上市,運輸
2609,陽明,上市,運輸
2610,華航,上市,運輸
2611,志信,上市,運輸
2612,中航,上市,運輸
2613,中櫃,上市,運輸
2614,遠森科,上市,運輸
2615,萬海,上市,運輸
2616,山隆,上市,運輸
2617,台航,上市,運輸
2618,長榮航,上市,金融保險
2801,彰銀,上市,金融保險
2807,竹商銀,上市,金融保險
2808,北商銀,上市,金融保險
2809,南企,上市,金融保險
2811,東企,上市,金融保險
2812,台中銀,上市,金融保險
2816,友聯,上市,金融保險
2820,華票,上市,金融保險
2822,農銀,上市,金融保險
2823,中壽,上市,金融保險
2825,中央保,上市,金融保險
2827,中聯,上市,金融保險
2828,萬通,上市,金融保險
2831,中華銀行,上市,金融保險
2832,台產,上市,金融保險
2833,台壽,上市,金融保險
2834,台企,上市,金融保險
2836,高雄銀,上市,金融保險
2837,萬泰銀,上市,金融保險
2838,聯邦銀,上市,金融保險
2841,台開,上市,金融保險
2845,遠東銀,上市,金融保險
2847,大眾銀,上市,金融保險
2848,華南保,上市,金融保險
2849,安泰銀,上市,金融保險
2850,新產,上市,金融保險
2851,中再保,上市,金融保險
2852,第一保,上市,金融保險
2880,華南金,上市,金融保險
2881,富邦金,上市,金融保險
2882,國泰金,上市,金融保險
2883,開發金,上市,金融保險
2884,玉山金,上市,金融保險
2885,復華金,上市,金融保險
2886,兆豐金,上市,金融保險
2887,台新金,上市,金融保險
2888,新光金,上市,金融保險
2889,國票金,上市,金融保險
2890,建華金,上市,金融保險
2891,中信金,上市,金融保險
2892,第一金控,上市,鋼鐵
2002,中鋼,上市,鋼鐵
2006,東鋼,上市,鋼鐵
2007,燁興,上市,鋼鐵
2008,高興昌,上市,鋼鐵
2009,第一銅,上市,鋼鐵
2010,春源,上市,鋼鐵
2012,春雨,上市,鋼鐵
2013,中鋼構,上市,鋼鐵
2014,燁隆,上市,鋼鐵
2015,豐興,上市,鋼鐵
2017,嘉益,上市,鋼鐵
2020,美亞,上市,鋼鐵
2022,聚亨,上市,鋼鐵
2023,燁輝,上市,鋼鐵
2024,志聯,上市,鋼鐵
2025,千興,上市,鋼鐵
2027,大成鋼,上市,鋼鐵
2028,威致,上市,鋼鐵
2029,盛餘,上市,鋼鐵
2030,彰源,上市,鋼鐵
2031,新光鋼,上市,鋼鐵
2032,新鋼,上市,鋼鐵
2033,佳大,上市,鋼鐵
2034,允強,上市,電器電纜
1601,台光,上市,電器電纜
1602,太電,上市,電器電纜
1603,華電,上市,電器電纜
1604,聲寶,上市,電器電纜
1605,華新,上市,電器電纜
1606,歌林,上市,電器電纜
1608,華榮,上市,電器電纜
1609,大亞,上市,電器電纜
1611,中電,上市,電器電纜
1612,宏泰,上市,電器電纜
1613,台一,上市,電器電纜
1614,三洋,上市,電器電纜
1615,大山,上市,電器電纜
1616,億泰,上市,電器電纜
1617,榮星,上市,電器電纜
1618,合機,上市,電機
1503,士電,上市,電機
1504,東元,上市,電機
1506,正道,上市,電機
1507,永大,上市,電機
1510,台安,上市,電機
1512,瑞利,上市,電機
1513,中興電工,上市,電機
1514,亞力,上市,電機
1515,力山,上市,電機
1516,川飛,上市,電機
1517,利奇,上市,電機
1519,華城,上市,電機
1520,復盛,上市,電機
1521,大億,上市,電機
1522,堤維西,上市,電機
1523,開億,上市,電機
1524,耿鼎,上市,電機
1525,江申,上市,電機
1526,日馳,上市,電機
1527,鑽全,上市,電機
1528,恩德,上市,電機
1529,樂士,上市,電機
1530,亞崴,上市,電機
1531,高林股,上市,電機
1532,勤美,上市,電機
1533,車王電,上市,電機
1534,新企,上市,電機
1535,中宇,上市,電機
1536,和大,上市,電機
1537,廣隆,上市,電機
1538,正峰工,上市,電機
1539,巨庭,上市,電機
1540,喬福,上市,電機
1541,錩泰,上市,食品
1201,味全,上市,食品
1203,味王,上市,食品
1204,津津,上市,食品
1207,嘉食化,上市,食品
1210,大成,上市,食品
1212,中日,上市,食品
1213,大飲,上市,食品
1215,卜蜂,上市,食品
1216,統一,上市,食品
1217,愛之味,上市,食品
1218,泰山,上市,食品
1219,福壽,上市,食品
1220,台榮,上市,食品
1221,久津,上市,食品
1224,惠勝,上市,食品
1225,福懋油脂,上市,食品
1227,佳格,上市,食品
1228,台芳,上市,食品
1229,聯華,上市,食品
1231,聯華食品,上市,食品
1232,大統益,上市,食品
1233,天仁,上市,食品
1234,黑松,上市,食品
1235,興泰,上市,食品
1236,宏亞,上市,其他
8905,裕國,上櫃,其他
8906,花王,上櫃,其他
8908,欣雄,上櫃,其他
8913,華夏租賃,上櫃,其他
8916,光隆,上櫃,其他
8917,欣泰,上櫃,其他
8921,沈氏印刷,上櫃,其他
8923,時報出版,上櫃,其他
8924,大田,上櫃,其他
8925,偉盟,上櫃,其他
8926,台汽電,上櫃,其他
8927,北基,上櫃,其他
8928,鉅明,上櫃,其他
8929,富堡,上櫃,其他
8930,青鋼,上櫃,其他
8931,大園汽電,上櫃,其他
8932,宏大,上櫃,其他
8933,愛地雅,上櫃,其他
8934,喬工,上櫃,其他
8935,邦泰,上櫃,其他
8936,國統,上櫃,其他
8937,合騏,上櫃,其他
8938,明安,上櫃,其他
8940,新天地,上櫃,其他
8941,關中,上櫃,其他
8942,森鉅,上櫃,化學
4702,中美實,上櫃,化學
4703,金美克能,上櫃,化學
4706,大恭,上櫃,化學
4707,磐亞,上櫃,化學
4711,永純,上櫃,化學
4712,南璋,上櫃,化學
4714,永捷,上櫃,化學
4716,大立,上櫃,化學
4717,天泰,上櫃,化學
4720,德淵,上櫃,化學
4721,美琪瑪,上櫃,塑膠
4303,信立,上櫃,塑膠
4304,琨詰,上櫃,塑膠
4305,世坤,上櫃,塑膠
4306,炎洲,上櫃,橡膠
5102,富強,上櫃,營建
5501,金腦科,上櫃,營建
5505,和旺,上櫃,營建
5506,長鴻,上櫃,營建
5508,永信建設,上櫃,營建
5511,德昌,上櫃,營建
5512,力麒,上櫃,營建
5514,三豐,上櫃,營建
5515,建國工程,上櫃,營建
5516,雙喜,上櫃,營建
5519,隆大,上櫃,營建
5520,力泰,上櫃,營建
5521,工信工程,上櫃,營建
5522,大都市,上櫃,營建
5523,宏都,上櫃,營建
5524,全友建設,上櫃,營建
5525,順天,上櫃,營建
5528,廣大,上櫃,營建
5529,訊嘉,上櫃,營建
5530,大漢,上櫃,營建
5531,鄉林,上櫃,營建
5532,竟誠建築,上櫃,營建
5533,皇鼎建設,上櫃,營建
5534,長虹,上櫃,營建
6401,助群,上櫃,營建
6402,基泰營,上櫃,玻璃
4801,景泰,上櫃,生技
4102,永日,上櫃,生技
4103,百略,上櫃,生技
4104,東貿,上櫃,生技
4105,東洋,上櫃,生技
4106,雃博,上櫃,生技
4107,邦拓,上櫃,生技
4108,懷特,上櫃,生技
4109,加捷,上櫃,生技
4110,博登,上櫃,生技
4111,濟生,上櫃,生技
4113,榮睿,上櫃,生技
4114,健喬,上櫃,管理股票
8705,東隆,上櫃,管理股票
8707,中精機,上櫃,管理股票
8708,大鋼,上櫃,管理股票
8710,易欣,上櫃,管理股票
8712,國產車,上櫃,管理股票
8718,工礦,上櫃,管理股票
8719,宏福,上櫃,管理股票
8720,元富,上櫃,管理股票
8721,尚鋒,上櫃,管理股票
8722,尚德,上櫃,管理股票
8723,順大裕,上櫃,管理股票
8724,立大,上櫃,管理股票
8725,三采,上櫃,紡織纖維
4401,東隆興,上櫃,紡織纖維
4402,福大,上櫃,紡織纖維
4404,百成行,上櫃,紡織纖維
4406,新昕,上櫃,紡織纖維
4408,聯明,上櫃,紡織纖維
4413,赤崁,上櫃,紡織纖維
4414,如興,上櫃,紡織纖維
4415,勤龍,上櫃,紡織纖維
4416,福纖實業,上櫃,紡織纖維
4417,金洲,上櫃,紡織纖維
4419,松懋化學,上櫃,紡織纖維
4420,光明,上櫃,紡織纖維
6502,國隆,上櫃,觀光
5701,劍湖山,上櫃,觀光
5702,統合,上櫃,觀光
5703,亞都麗緻,上櫃,觀光
5704,知本老爺,上櫃,觀光
5706,鳳凰,上櫃,證券
6001,建華證券,上櫃,證券
6002,台育證券,上櫃,證券
6003,大華證券,上櫃,證券
6004,元大京華,上櫃,證券
6005,群益證券,上櫃,證券
6007,富邦證券,上櫃,證券
6008,中信證券,上櫃,證券
6009,永昌證券,上櫃,證券
6010,台証證券,上櫃,證券
6012,金鼎證券,上櫃,證券
6013,京華證券,上櫃,證券
6014,日盛證券,上櫃,證券
6015,吉祥證券,上櫃,證券
6016,康和證券,上櫃,證券
6017,亞洲證券,上櫃,證券
6020,大展證券,上櫃,證券
6021,大慶證,上櫃,百貨貿易
5901,中友,上櫃,百貨貿易
5902,德記,上櫃,百貨貿易
5903,全家便利,上櫃,百貨貿易
5904,寶雅,上櫃,百貨貿易
5905,南仁湖,上櫃,資訊電子
5301,祥裕電子,上櫃,資訊電子
5302,太欣,上櫃,資訊電子
5304,大霸,上櫃,資訊電子
5305,敦南,上櫃,資訊電子
5306,訊康,上櫃,資訊電子
5307,耀文,上櫃,資訊電子
5309,系統,上櫃,資訊電子
5310,天剛,上櫃,資訊電子
5312,寶島光學,上櫃,資訊電子
5314,世紀,上櫃,資訊電子
5315,光聯,上櫃,資訊電子
5317,凱美,上櫃,資訊電子
5318,佳鼎,上櫃,資訊電子
5321,九德,上櫃,資訊電子
5324,華昕,上櫃,資訊電子
5325,大騰,上櫃,資訊電子
5326,漢磊,上櫃,資訊電子
5328,華容,上櫃,資訊電子
5336,華特,上櫃,資訊電子
5340,建榮,上櫃,資訊電子
5344,立衛,上櫃,資訊電子
5345,天揚,上櫃,資訊電子
5346,力晶,上櫃,資訊電子
5347,世界先進,上櫃,資訊電子
5348,系通,上櫃,資訊電子
5349,先豐,上櫃,資訊電子
5351,鈺創,上櫃,資訊電子
5353,台林,上櫃,資訊電子
5355,佳總,上櫃,資訊電子
5356,協益,上櫃,資訊電子
5364,梅捷,上櫃,資訊電子
5371,中強光電,上櫃,資訊電子
5372,十美,上櫃,資訊電子
5375,慧智,上櫃,資訊電子
5376,東正元,上櫃,資訊電子
5381,合正,上櫃,資訊電子
5383,金利,上櫃,資訊電子
5384,捷元,上櫃,資訊電子
5385,瑩寶,上櫃,資訊電子
5386,青雲國際,上櫃,資訊電子
5387,茂德,上櫃,資訊電子
5388,中磊,上櫃,資訊電子
5392,怡安,上櫃,資訊電子
5395,普揚,上櫃,資訊電子
5398,力瑋,上櫃,資訊電子
5401,第三波,上櫃,資訊電子
5403,中菲,上櫃,資訊電子
5410,國眾,上櫃,資訊電子
5414,磐英,上櫃,資訊電子
5425,台半,上櫃,資訊電子
5426,振發,上櫃,資訊電子
5432,達威,上櫃,資訊電子
5434,崇越,上櫃,資訊電子
5436,立生,上櫃,資訊電子
5438,東友,上櫃,資訊電子
5439,高技企業,上櫃,資訊電子
5442,世峰,上櫃,資訊電子
5443,均豪,上櫃,資訊電子
5450,寶聯,上櫃,資訊電子
5452,佶優,上櫃,資訊電子
5455,訊利電,上櫃,資訊電子
5457,宣得,上櫃,資訊電子
5460,同協電子,上櫃,資訊電子
5464,霖宏科技,上櫃,資訊電子
5465,富驊,上櫃,資訊電子
5466,泰林,上櫃,資訊電子
5467,聯瞻,上櫃,資訊電子
5468,台晶,上櫃,資訊電子
5469,瀚宇博德,上櫃,資訊電子
5471,松翰科技,上櫃,資訊電子
5473,矽成,上櫃,資訊電子
5474,聰泰,上櫃,資訊電子
5475,德宏,上櫃,資訊電子
5478,智冠,上櫃,資訊電子
5480,統盟,上櫃,資訊電子
5481,華韡電子,上櫃,資訊電子
5483,中美晶,上櫃,資訊電子
5484,慧友電,上櫃,資訊電子
5487,通泰,上櫃,資訊電子
5488,松普科技,上櫃,資訊電子
5489,彩富,上櫃,資訊電子
5490,同亨,上櫃,資訊電子
5491,連展,上櫃,資訊電子
5492,亞智科,上櫃,資訊電子
5493,三聯科技,上櫃,資訊電子
5494,德鑫,上櫃,資訊電子
5497,佰鈺科技,上櫃,資訊電子
5498,凱崴,上櫃,資訊電子
6101,弘捷,上櫃,資訊電子
6103,合邦,上櫃,資訊電子
6104,創惟科技,上櫃,資訊電子
6105,瑞傳科技,上櫃,資訊電子
6107,華美,上櫃,資訊電子
6108,競國,上櫃,資訊電子
6109,亞元,上櫃,資訊電子
6110,艾群科技,上櫃,資訊電子
6111,大宇資,上櫃,資訊電子
6112,聚碩,上櫃,資訊電子
6113,亞矽,上櫃,資訊電子
6114,翔昇,上櫃,資訊電子
6115,鎰勝,上櫃,資訊電子
6116,彩晶,上櫃,資訊電子
6117,迎廣科技,上櫃,資訊電子
6118,建達國際,上櫃,資訊電子
